FRB,z,gl,gb,DM,"DM_MW, ISM(NE2001)","DM_MW, ISM(YMW16)",DM_ext(ne2001),DM_ext(ymw16),Ref.
FRB 20180814A,0.068,136.46,16.58,190.9,87.83,108.41,73.07390442,52.49332275,CHIME13
FRB 20181030A,0.00385,133.4,40.9,103.5,40.35,32.24,33.14949799,41.25672913,181030A
FRB 20220529A,0.1839,130.78767,-41.85802,246,39.95,30.92,176.0488319,185.0764046,https://arxiv.org/abs/2503.04727
FRB 20220610A,1.015,8.8392,-70.1857,1458.1,30.96,13.58,1397.14212,1414.521089,ASKAP2
FRB 20220717A,0.36295,19.83515767,-17.63203224,637.34,118.33,83.22,489.008396,524.1162146,https://arxiv.org/pdf/2407.02173
FRB 20220831A,0.262,110.96,12.47,1146.25,110.21,147.77,1006.037178,968.4815979,https://arxiv.org/pdf/2409.16952
FRB 20230521B,1.354,115.65,9.97,1342.9,133.4,197.8,1179.501944,1115.100378,https://arxiv.org/pdf/2409.16952
FRB 20230814A,0.553,112.56,13.2,696.4,104.76,137.79,561.6403183,528.6119598,https://arxiv.org/pdf/2409.16952
FRB 20231220A,0.3355,143.29,31.69,491.2,50.27,45.17,410.9344856,416.0270645,https://arxiv.org/pdf/2409.16952
FRB 20240119A,0.376,112.37,43.24,483.1,37.36,30.32,415.7366081,422.7769848,https://arxiv.org/pdf/2409.16952
FRB 20240123A,0.968,138.14,15.34,1462,94.02,119.71,1337.980186,1312.285324,https://arxiv.org/pdf/2409.16952
FRB 20240213A,0.1185,136.49,41.57,357.4,40.1,31.76,287.3001083,295.6423611,https://arxiv.org/pdf/2409.16952
FRB 20240215A,0.21,102.29,30.17,549.5,48.29,43.11,471.2096672,476.3882027,https://arxiv.org/pdf/2409.16952
FRB 20240229A,0.287,131.13,44.11,491.15,37.94,29.81,423.214827,431.3418373,https://arxiv.org/pdf/2409.16952
FRB 20230814B,0.5535,111.25,12.26,696.4,111.87,151.38,554.5278915,515.0151886,https://arxiv.org/pdf/2409.16952
FRB 20220204A,0.4012,102.26,27.06,612.2,52.84,48.7,529.3556168,533.4972221,Kritti3
FRB 20220207C,0.0433,106.94,18.39,262.3,76.1,83.27,156.2024582,149.0332382,Kritti4
FRB 20220208A,0.351,107.62,15.36,437,90.4,107.92,316.5968094,299.08004,Kritti3
FRB 20220307B,0.2481,116.24,10.47,499.15,128.25,186.98,340.9037079,282.1692108,Kritti4
FRB 20220310F,0.478,140.02,34.8,462.15,46.34,39.51,385.8128876,392.6416573,Kritti4
FRB 20220330D,0.3714,134.18,42.93,468.1,38.98,30.63,399.1211563,407.4747025,Kritti3
FRB 20220418A,0.6213,110.75,44.47,623.45,36.65,29.54,556.7978546,563.9148514,Kritti4
FRB 20220506D,0.3004,108.35,16.51,369.93,84.58,97.69,255.3538129,242.2421872,Kritti4
FRB 20220509G,0.0894,100.94,25.48,269.5,55.6,52.06,183.9006157,187.4408379,Kritti4
FRB 20220726A,0.3619,139.97,17.57,686.55,83.65,101.14,572.9042252,555.4083374,Kritti3
FRB 20220825A,0.2414,106.99,17.79,651.2,78.46,86.91,542.740863,534.2853882,Kritti4
FRB 20220914A,0.1139,104.31,26.13,631.05,54.68,51.11,546.3669289,549.9365967,Kritti3
FRB 20220920A,0.1582,104.92,38.89,315,39.86,33.36,245.1367111,251.6359825,Kritti4
FRB 20221012A,0.2847,101.14,26.14,442.2,54.35,50.55,357.8536255,361.6532089,Kritti4
FRB 20221027A,0.5422,142.66,33.96,452.5,47.62,41.07,374.8814125,381.4337692,Kritti3
FRB 20221029A,0.975,140.39,38.01,1391.05,43.15,35.42,1317.899007,1325.626675,Kritti3
FRB 20221101B,0.2395,113.25,11.06,490.7,122.68,174.2,338.0160782,286.4979584,Kritti3
FRB 20221113A,0.2505,139.53,16.99,411.4,86.31,105.52,295.0928864,275.8771652,Kritti_local
FRB 20221116A,0.2764,124.47,8.71,640.6,145.05,223.48,465.5515076,387.1169067,ASKAP_Kritti2
FRB 20221219A,0.553,103.19,34.07,706.708,43.97,37.98,632.7428625,638.7306974,Kritti_local
FRB 20230124A,0.0939,107.55,40.25,590.574,39.13,32.36,521.4442011,528.2150942,Kritti_local
FRB 20230216A,0.531,242.6,46.33,828,39.46,28.15,758.5358429,769.8535881,Kritti_local
FRB 20230307A,0.2706,127.35,45,608.854,37.4,29.26,541.4554481,549.595518,Kritti_local
FRB 20230501A,0.3015,112.43,11.51,532.471,118.55,165.22,383.9168466,337.2488168,Kritti_local
FRB 20230626A,0.327,105.68,38.34,451.2,40.21,33.85,380.9878952,387.349231,Kritti_local
FRB 20230628A,0.127,135.48,42.21,344.952,39.59,31.17,275.3584255,283.7790359,Kritti_local
FRB 20230712A,0.4525,132.31,43.69,587.567,38.44,30.1,519.1252962,527.4652925,Kritti_local
FRB 20231120A,0.0368,140.43,37.94,438.9,43.22,35.5,365.6781906,373.3956322,Kritti_local
FRB 20231123B,0.2621,105.71,38.38,396.857,40.36,33.82,326.4967133,333.0389458,Kritti_local
FRB 20121102A,0.19273,174.89,-0.23,557,188.42,287.07,338.5770111,239.9312134,https://iopscience.iop.org/article/10.1088/0004-637X/790/2/101
FRB 20171020A,0.00867,29.3,-51.3,114.1,38.37,25.84,45.72812424,58.26194725,https://iopscience.iop.org/article/10.3847/2041-8213/aae7cb
FRB 20180301A,0.3304,204.412,-6.481,522,150.73,252.56,341.2745361,239.4372711,https://iopscience.iop.org/article/10.3847/1538-3881/ac3aec
FRB 20180916B,0.0338,129.71,3.73,348.76,198.91,324.82,119.8528345,-6.062357178,180916B
FRB 20180924B,0.3214,0.7424,-49.4147,361.75,40.5,27.65,291.2527733,304.1014347,https://www.science.org/doi/10.1126/science.aaw5903
