FRB,z,DM,DM_ext_ne,DM_ext_pygedm,DM_ext,gl,gb,From,Ref
FRB 20230216A,0.531,828,758.5902997,758.5358429,758.8,242.6,46.33,Kritti,https://data.caltech.edu/records/f9g9m-e0873
FRB 20230307A,0.2706,608.854,541.2145854,541.4554481,550.65,127.35,45,"Kritti, Fan",https://data.caltech.edu/records/c6a0z-0yd73
FRB 20230501A,0.3015,532.471,389.3216168,383.9168466,383,112.43,11.51,"Kritti, Fan",https://data.caltech.edu/records/x16bp-afh35
FRB 20230626A,0.327,361.4,290.5258272,291.1878952,381.9,105.68,38.34,"Kritti, Fan",https://data.caltech.edu/records/vwwt9-ets63
FRB 20230628A,0.127,344.952,275.205258,275.3584255,276.35,135.48,42.21,"Kritti, Fan",https://data.caltech.edu/records/dcv4j-74144
FRB 20230712A,0.4525,587.567,518.9137504,519.1252962,518.21,132.31,43.69,"Kritti, Fan",https://data.caltech.edu/records/wrn1x-xnt27
FRB 20231120A,0.0368,438.9,365.7064608,365.6781906,365.8,140.43,37.94,Kritti,https://data.caltech.edu/records/nbtw5-37m55
FRB 20231123B,0.2621,396.857,326.0267985,326.4967133,326.1,105.71,38.38,"Kritti, Fan",https://data.caltech.edu/records/6hskc-pfe37
FRB 20121102A,0.19273,557,368.7663143,338.5770111,339,174.89,-0.23,Surajit,https://iopscience.iop.org/article/10.1088/0004-637X/790/2/101
FRB 20171020A,0.0086,114.1,44.83760602,45.72812424,46.1,29.3,-51.3,Surajit,https://www.nature.com/articles/s41586-018-0588-y
FRB 20180301A,0.3304,522,359.5649455,341.2745361,340,204.412,-6.481,Surajit,https://academic.oup.com/mnras/article/486/3/3636/5432360?login=false
FRB 20180916B,0.0337,349.3,147.2032104,120.3928345,119.3,129.71,3.73,Surajit,https://iopscience.iop.org/article/10.3847/2041-8213/ab4a80
FRB 20180924B,0.3214,361.42,289.5258358,290.9227733,290.92,0.7424,-49.4147,Surajit,https://www.science.org/doi/10.1126/science.aaw5903
FRB 20181112A,0.4755,589.27,516.8741509,517.5504146,457.27,342.5995,-47.6988,Surajit,https://www.science.org/doi/10.1126/science.aay0073
FRB 20181220A,0.02746,209.4,58.32539426,53.55155029,53.4,105.24,-10.73,Surajit,https://www.chime-frb.ca/catalog/FRB20181220A
FRB 20181223C,0.03024,112.5,53.34440699,62.5741806,62.5,207.75,79.51,Surajit,https://www.chime-frb.ca/catalog/FRB20181223C
FRB 20190102C,0.291,363.6,276.7844916,276.2004791,276.3,312.6537,-33.4931,Surajit,https://www.cambridge.org/core/journals/publications-of-the-astronomical-society-of-australia/article/commensal-realtime-askap-fast-transient-incoherentsum-survey/3486D8F81134D00A43DACFAC9831FAA4
FRB 20190110C,0.12244,221.6,153.7364208,154.5282761,154.5,65.6,42.1,Surajit,https://iopscience.iop.org/article/10.3847/1538-4357/acc6c1
FRB 20190303A,0.064,222.4,161.3051954,162.7342476,163.4,97.5,65.7,Surajit,https://iopscience.iop.org/article/10.3847/2041-8213/ab7208
FRB 20190418A,0.07132,184.5,87.11070738,84.38522339,83.5,179.3,-22.93,Surajit,https://www.chime-frb.ca/catalog/FRB20190418A
FRB 20190425A,0.03122,128.2,48.60590731,49.40499039,49.2,42.06,33.02,Surajit,https://www.chime-frb.ca/catalog/FRB20190425A
FRB 20190520B,0.241,1204.7,1115.68073,1114.493491,1061.7,359.67,29.91,Surajit,https://www.nature.com/articles/s41586-022-04755-5
FRB 20190523A,0.66,760.8,693.0916529,693.6202591,693.8,117.03,44,Surajit,https://www.nature.com/articles/s41586-019-1389-7
FRB 20190608B,0.1178,338.7,270.6365643,271.4302513,271.5,53.2088,-48.5296,Surajit,https://www.cambridge.org/core/journals/publications-of-the-astronomical-society-of-australia/article/commensal-realtime-askap-fast-transient-incoherentsum-survey/3486D8F81134D00A43DACFAC9831FAA4
FRB 20190611B,0.3778,321.4,234.2047613,233.5723404,233.57,312.9352,-33.2818,Surajit,https://www.cambridge.org/core/journals/publications-of-the-astronomical-society-of-australia/article/commensal-realtime-askap-fast-transient-incoherentsum-survey/3486D8F81134D00A43DACFAC9831FAA4
FRB 20190614D,0.6,959.2,845.0053782,841.2002518,845.7,136.3,16.5,Surajit,https://www.wis-tns.org/object/frb20190614d
FRB 20190711A,0.522,593.1,507.1689396,506.612104,506.7,310.9081,-33.902,Surajit,https://www.cambridge.org/core/journals/publications-of-the-astronomical-society-of-australia/article/commensal-realtime-askap-fast-transient-incoherentsum-survey/3486D8F81134D00A43DACFAC9831FAA4
FRB 20190714A,0.2365,504,435.1941574,435.5087624,435,289.6972,48.9359,Surajit,https://www.cambridge.org/core/journals/publications-of-the-astronomical-society-of-australia/article/commensal-realtime-askap-fast-transient-incoherentsum-survey/3486D8F81134D00A43DACFAC9831FAA4
FRB 20191001A,0.234,506.92,432.2166881,432.7458133,432.22,341.2267,-44.9039,Surajit,https://www.cambridge.org/core/journals/publications-of-the-astronomical-society-of-australia/article/commensal-realtime-askap-fast-transient-incoherentsum-survey/3486D8F81134D00A43DACFAC9831FAA4
FRB 20191106C,0.10775,332.2,271.8635524,277.189809,277.2,105.7,73.2,Surajit,https://iopscience.iop.org/article/10.3847/1538-4357/acc6c1
FRB 20191228A,0.2432,297.5,233.5909905,234.5534706,234.5,20.5553,-64.9245,Surajit,https://iopscience.iop.org/article/10.3847/1538-3881/ac3aec
FRB 20200223B,0.0602,201.8,125.9612574,126.2723549,126.2,118.1,-33.9,Surajit,https://iopscience.iop.org/article/10.3847/1538-4357/acc6c1
FRB 20200430A,0.16,380.1,322.3294431,322.9176289,323.1,17.1396,52.503,Surajit,https://www.cambridge.org/core/journals/publications-of-the-astronomical-society-of-australia/article/commensal-realtime-askap-fast-transient-incoherentsum-survey/3486D8F81134D00A43DACFAC9831FAA4
FRB 20200906A,0.3688,577.8,511.8754423,511.9636658,511.8,202.257,-49.9989,Surajit,https://iopscience.iop.org/article/10.3847/1538-3881/ac3aec
FRB 20201123A,0.05,433.55,174.1516025,151.8935974,151.62,340.23,-9.68,Surajit,https://academic.oup.com/mnras/article/514/2/1961/6595347?login=false
FRB 20201124A,0.098,413.52,260.1850524,243.3883167,260.32,177.6,-8.5,Surajit,https://www.wis-tns.org/object/frb20201124a
FRB 20210117A,0.2145,730,664.9228831,665.624321,665.6,45.9175,-57.6464,Surajit,https://iopscience.iop.org/article/10.3847/1538-4357/acc178
FRB 20210320C,0.2797,384.8,315.1144484,315.511937,312.8,318.8729,45.3081,Surajit,https://arxiv.org/abs/2302.05465
FRB 20210405I,0.066,565.17,66.42332808,18.38789551,19.07,338.19,-4.59,Surajit,https://www.wis-tns.org/object/frb20210405i
FRB 20210410D,0.1415,578.78,493.0620534,492.588094,492.58,312.32,-34.13,Surajit,https://www.wis-tns.org/object/frb20210410d
FRB 20210603A,0.177,500.147,430.4871112,430.6131484,430.15,119.71,-41.58,Surajit,https://arxiv.org/abs/2307.09502
FRB 20210807D,0.12927,251.9,100.5981458,100.7274612,100.7,39.8612,-14.8775,Surajit,https://www.cambridge.org/core/journals/publications-of-the-astronomical-society-of-australia/article/commensal-realtime-askap-fast-transient-incoherentsum-survey/3486D8F81134D00A43DACFAC9831FAA4
FRB 20211127I,0.0469,234.83,162.1131903,162.3589841,162.33,312.0214,43.5427,Surajit,https://www.cambridge.org/core/journals/publications-of-the-astronomical-society-of-australia/article/commensal-realtime-askap-fast-transient-incoherentsum-survey/3486D8F81134D00A43DACFAC9831FAA4
FRB 20211203C,0.3437,636.2,543.9200358,542.4724648,543.2,314.5185,30.4361,Surajit,https://www.cambridge.org/core/journals/publications-of-the-astronomical-society-of-australia/article/commensal-realtime-askap-fast-transient-incoherentsum-survey/3486D8F81134D00A43DACFAC9831FAA4
FRB 20211212A,0.0715,206,137.0838692,137.2481155,148.9,244.0081,47.3154,Surajit,https://www.cambridge.org/core/journals/publications-of-the-astronomical-society-of-australia/article/commensal-realtime-askap-fast-transient-incoherentsum-survey/3486D8F81134D00A43DACFAC9831FAA4
FRB 20220105A,0.2785,583,530.1114433,530.9622593,531,18.555,74.808,Surajit,https://www.cambridge.org/core/journals/publications-of-the-astronomical-society-of-australia/article/commensal-realtime-askap-fast-transient-incoherentsum-survey/3486D8F81134D00A43DACFAC9831FAA4
FRB 20220319D,0.011,110.95,-46.26048261,-58.75996094,15.7,129.18,9.11,Surajit,https://data.caltech.edu/records/z80e7-7wk68
FRB 20220501C,0.381,449.5,387.6621787,388.8774948,388.5,11.1777,-71.4731,Surajit,https://www.cambridge.org/core/journals/publications-of-the-astronomical-society-of-australia/article/commensal-realtime-askap-fast-transient-incoherentsum-survey/3486D8F81134D00A43DACFAC9831FAA4
FRB 20220610A,1.017,1458,1395.637082,1397.04212,1397,8.8392,-70.1857,Surajit,https://www.cambridge.org/core/journals/publications-of-the-astronomical-society-of-australia/article/commensal-realtime-askap-fast-transient-incoherentsum-survey/3486D8F81134D00A43DACFAC9831FAA4
FRB 20220725A,0.1962,290.4,228.3754136,229.6679787,229.4,0.0017,-71.1863,Surajit,https://www.cambridge.org/core/journals/publications-of-the-astronomical-society-of-australia/article/commensal-realtime-askap-fast-transient-incoherentsum-survey/3486D8F81134D00A43DACFAC9831FAA4
FRB 20220912A,0.077,651.24,588.2080796,588.7400534,64.46,347.27,48.7,Surajit,https://www.astronomerstelegram.org/?read=15679
FRB 20220918A,0.491,656.8,585.717756,586.0567635,585.8,300.6851,-46.2342,Surajit,https://www.cambridge.org/core/journals/publications-of-the-astronomical-society-of-australia/article/commensal-realtime-askap-fast-transient-incoherentsum-survey/3486D8F81134D00A43DACFAC9831FAA4
FRB 20221106A,0.2044,314.99,249.998284,250.2003958,278.8,220.901,-50.8788,Surajit,https://www.cambridge.org/core/journals/publications-of-the-astronomical-society-of-australia/article/commensal-realtime-askap-fast-transient-incoherentsum-survey/3486D8F81134D00A43DACFAC9831FAA4
FRB 20230526A,0.157,361.4,298.9771077,299.5401272,281.4,290.171,-63.4721,Surajit,https://www.wis-tns.org/object/frb20230526a
FRB 20230708A,0.105,411.51,321.7304199,321.1836794,331.51,342.6288,-33.3877,Surajit,https://www.cambridge.org/core/journals/publications-of-the-astronomical-society-of-australia/article/commensal-realtime-askap-fast-transient-incoherentsum-survey/3486D8F81134D00A43DACFAC9831FAA4
FRB 20230718A,0.0357,476.6,54.08807655,25.95128784,53.6,259.4629,-0.3666,Surajit,https://www.cambridge.org/core/journals/publications-of-the-astronomical-society-of-australia/article/commensal-realtime-askap-fast-transient-incoherentsum-survey/3486D8F81134D00A43DACFAC9831FAA4
FRB 20230902A,0.3619,440.1,375.6112112,375.9648567,376.1,256.9906,-53.3387,Surajit,https://www.cambridge.org/core/journals/publications-of-the-astronomical-society-of-australia/article/commensal-realtime-askap-fast-transient-incoherentsum-survey/3486D8F81134D00A43DACFAC9831FAA4
FRB 20231226A,0.1569,329.9,261.7614819,261.8089661,154.9,236.5768,48.6458,Surajit,https://www.cambridge.org/core/journals/publications-of-the-astronomical-society-of-australia/article/commensal-realtime-askap-fast-transient-incoherentsum-survey/3486D8F81134D00A43DACFAC9831FAA4
FRB 20240114A,0.42,527.7,447.3203739,448.2836983,457.7,57.73,-31.68,Surajit,https://www.astronomerstelegram.org/?read=16420
FRB 20240201A,0.042729,374.5,306.0193479,305.883503,306.5,222.1335,47.9692,Surajit,https://www.cambridge.org/core/journals/publications-of-the-astronomical-society-of-australia/article/commensal-realtime-askap-fast-transient-incoherentsum-survey/3486D8F81134D00A43DACFAC9831FAA4
FRB 20240210A,0.023686,283.8,224.019938,225.1071938,222.73,14.4396,-86.2116,Surajit,https://www.cambridge.org/core/journals/publications-of-the-astronomical-society-of-australia/article/commensal-realtime-askap-fast-transient-incoherentsum-survey/3486D8F81134D00A43DACFAC9831FAA4
FRB 20240310A,0.127,601.8,541.1885845,541.6990517,535.8,291.7066,-72.2713,Surajit,https://www.cambridge.org/core/journals/publications-of-the-astronomical-society-of-australia/article/commensal-realtime-askap-fast-transient-incoherentsum-survey/3486D8F81134D00A43DACFAC9831FAA4
FRB 20200120E,0.0008,87.82,17.04896766,17.15095932,17.74,142.19,41.22, kirsten2022repeating200120 ,https://iopscience.iop.org/article/10.3847/2041-8213/abeaa6
FRB 20230203A,0.1464,420.1,353.8018854,353.837278,354.81,188.7125372,54.08702676,"CHIME2025 (original RA, DEC)",https://arxiv.org/pdf/2502.11217
FRB 20230222A,0.1223,706.1,555.6723613,541.9014832,556.03,204.7163778,8.695736261,CHIME2025,https://arxiv.org/pdf/2502.11217
FRB 20230222B,0.11,187.8,129.1134605,130.0669888,130.18,49.61758206,49.97872118,CHIME2025,https://arxiv.org/pdf/2502.11217
FRB 20230311A,0.1918,364.3,247.883909,241.8440445,248.31,157.7133766,16.03946791,CHIME2025,https://arxiv.org/pdf/2502.11217
FRB 20230703A,0.1184,291.3,230.2216962,234.3724163,234.6,137.2097857,67.47502062,CHIME2025,https://arxiv.org/pdf/2502.11217
FRB 20230730A,0.2115,312.5,201.9220398,197.3438492,201.92,158.8166352,-17.81644809,CHIME2025,https://arxiv.org/pdf/2502.11217
FRB 20230926A,0.0553,222.8,139.2776043,140.1800316,139.28,68.23527902,27.48398452,CHIME2025,https://arxiv.org/pdf/2502.11217
FRB 20231005A,0.0713,189.4,125.0786071,125.9296249,125.08,57.16529291,44.35315679,CHIME2025,https://arxiv.org/pdf/2502.11217
FRB 20231011A,0.0783,186.3,87.07613707,85.94981079,87.08,127.2286992,-20.94298363,CHIME2025,https://arxiv.org/pdf/2502.11217
FRB 20231017A,0.245,344.2,249.3144219,249.6493484,249.31,100.6098004,-21.65190357,CHIME2025,https://arxiv.org/pdf/2502.11217
FRB 20231025B,0.3238,368.7,289.4541983,290.111335,289.45,93.43324314,29.43399566,CHIME2025,https://arxiv.org/pdf/2502.11217
FRB 20231123A,0.0729,302.1,186.6910089,182.3513809,186.69,199.3094435,-15.74274898,CHIME2025,https://arxiv.org/pdf/2502.11217
FRB 20231128A,0.1079,331.6,271.2674478,276.5937153,271.27,105.6852393,73.2240021,CHIME2025,https://arxiv.org/pdf/2502.11217
FRB 20231201A,0.1119,169.4,71.94405722,69.44795837,71.94,163.0405249,-22.7702363,CHIME2025,https://arxiv.org/pdf/2502.11217
FRB 20231204A,0.0644,221,159.9355996,161.1713448,159.94,97.62375629,65.92814517,CHIME2025,https://arxiv.org/pdf/2502.11217
FRB 20231206A,0.0659,457.7,370.1225741,368.5641319,370.12,161.0581675,27.48189499,CHIME2025,https://arxiv.org/pdf/2502.11217
FRB 20231223C,0.1059,165.8,87.07174158,87.93407516,87.07,52.31072392,32.08016178,CHIME2025,https://arxiv.org/pdf/2502.11217
FRB 20231229A,0.019,198.5,110.9810649,110.3196983,110.98,135.344911,-26.44334852,CHIME2025,https://arxiv.org/pdf/2502.11217
FRB 20231230A,0.0298,131.4,41.0171084,39.82437363,41.02,195.8701482,-25.2386886,CHIME2025,https://arxiv.org/pdf/2502.11217
